tender_id,tender_date,category,region,procurement_method,vendor_id,bidder_ids,num_bidders,tender_value,estimated_market_value,bid_amount,bid_rank,award_value,final_contract_value,contract_duration_months,bids,is_anomaly,anomaly_types,previous_participations,previous_wins,vendor_win_rate,post_award_change_pct,bid_to_tender_ratio,bid_to_market_ratio
T00288,2022-01-01,Transport,East,open,V0006,V0006|V0007|V0008,3,1758.77,1789.62,1804.36,1,1804.36,1837.78,8,V0006:1804.36|V0007:1836.01|V0008:1867.67,0,,0,0,,1.8521802744463454,1.0259215247019222,1.0082363853779015
T01059,2022-01-01,Construction,South,open,V0388,V0025|V0116|V0119|V0173|V0280|V0350|V0363|V0388,8,835.3,774.78,735.5,1,747.11,739.47,32,V0025:856.44|V0116:834.22|V0119:803.10|V0173:767.12|V0280:753.29|V0350:785.22|V0363:752.38|V0388:735.50,0,,0,0,,-1.0226071127410938,0.8805219681551539,0.9493017372673533
T01116,2022-01-01,Medical Supplies,South,open,V0250,V0037|V0136|V0149|V0196|V0197|V0250|V0254|V0386,8,113.06,112.89,99.62,1,99.89,106.26,27,V0037:100.34|V0136:105.68|V0149:112.56|V0196:115.44|V0197:117.64|V0250:99.62|V0254:105.44|V0386:111.96,0,,0,0,,6.37701471618781,0.8811250663364586,0.8824519443706264
T01242,2022-01-01,Consulting,North,open,V0372,V0097|V0208|V0231|V0252|V0352|V0372,6,42.64,43.84,38.5,1,38.83,39.58,28,V0097:41.03|V0208:40.36|V0231:40.67|V0252:41.45|V0352:42.42|V0372:38.50,0,,0,0,,1.9314962657738861,0.9029080675422139,0.8781934306569342
T02474,2022-01-01,Construction,Central,open,V0148,V0148|V0195|V0274|V0317|V0319|V0347|V0350|V0383,8,4081.38,3923.52,3634.65,1,3692.25,3739.93,21,V0148:3634.65|V0195:3923.37|V0274:4118.02|V0317:4102.05|V0319:3789.43|V0347:4049.51|V0350:3679.59|V0383:4210.88,0,,0,0,,1.291353510731934,0.8905443746967937,0.9263747859065329
T03883,2022-01-01,Consulting,North,open,V0321,V0035|V0120|V0133|V0256|V0280|V0300|V0321,7,57.71,57.21,51.3,1,50.92,51.51,18,V0035:59.38|V0120:60.09|V0133:55.39|V0256:52.38|V0280:55.20|V0300:60.34|V0321:51.30,0,,0,0,,1.1586802827965363,0.8889273955986831,0.896696381751442
T04560,2022-01-01,Medical Supplies,South,open,V0298,V0128|V0144|V0298,3,625.88,602.15,561.73,1,572.61,849.57,21,V0128:621.05|V0144:609.56|V0298:561.73,1,post_award_change,0,0,,48.367999161733124,0.8975043139259923,0.9328738686373828
T05102,2022-01-01,Construction,East,open,V0119,V0021|V0029|V0119|V0214|V0264|V0366|V0396,7,2699.47,2691.96,2377.52,1,2358.35,2509.48,32,V0021:2544.37|V0029:2451.14|V0119:2377.52|V0214:2706.26|V0264:2421.09|V0366:2525.28|V0396:2755.73,0,,0,0,,6.408293934318491,0.8807358481479698,0.8831929151993343
T05706,2022-01-01,Transport,South,open,V0232,V0232|V0292|V0327|V0349,4,1976.09,2022.86,1810.53,1,1815.69,1864.47,12,V0232:1810.53|V0292:2051.94|V0327:1873.81|V0349:2029.91,0,,0,0,,2.686581960576969,0.9162183908627644,0.8950347527757729
T05806,2022-01-01,Construction,South,open,V0317,V0096|V0114|V0317,3,4904.66,5234.34,4520.86,1,4526.75,4791.04,20,V0096:4936.08|V0114:4622.45|V0317:4520.86,0,,0,0,,5.838405036726127,0.9217478887425428,0.8636924617048185
T06163,2022-01-01,IT Services,East,open,V0003,V0002|V0003|V0004|V0005,4,103.5,104.62,93.43,1,93.43,95.25,12,V0002:102.25|V0003:93.43|V0004:96.06|V0005:99.35,0,,0,0,,1.9479824467515714,0.9027053140096619,0.8930414834639648
T07083,2022-01-01,Medical Supplies,East,open,V0354,V0034|V0114|V0185|V0267|V0287|V0289|V0354|V0366,8,566.81,583.75,513.3,1,520.87,517.3,24,V0034:515.00|V0114:554.49|V0185:528.25|V0267:570.15|V0287:592.41|V0289:579.06|V0354:513.30|V0366:571.80,0,,0,0,,-0.6853917484209208,0.9055944672818051,0.8793147751605995
T08084,2022-01-01,Transport,East,restricted,V0259,V0034|V0079|V0259,3,1275.26,1306.58,1159.02,1,1151.2,1143.3,34,V0034:1321.67|V0079:1271.30|V0259:1159.02,0,,0,0,,-0.6862404447533088,0.9088499600081552,0.8870639379142494
T09764,2022-01-01,Transport,Central,open,V0084,V0084|V0171|V0202|V0318,4,1827.99,1899.87,1618.07,1,1628.52,1713.97,8,V0084:1618.07|V0171:1687.60|V0202:1707.43|V0318:1658.13,0,,0,0,,5.247095522314742,0.8851634855770545,0.8516740619094991
T09880,2022-01-01,Construction,South,negotiated,V0109,V0109|V0284|V0399,3,2098.89,2173.22,1967.1,1,1949.63,1943.08,29,V0109:1967.10|V0284:2085.71|V0399:2081.71,0,,0,0,,-0.33596118237820416,0.9372096679673542,0.9051545632747721
T00209,2022-01-02,IT Services,North,negotiated,V0084,V0013|V0084|V0242|V0349,4,414.29,444.68,369.43,1,374.45,393.0,34,V0013:374.32|V0084:369.43|V0242:372.83|V0349:418.45,0,,1,1,1.0,4.953932434236884,0.891718361534191,0.8307771880903121
T00282,2022-01-02,IT Services,North,open,V0070,V0069|V0070|V0216|V0258|V0262|V0279|V0325|V0350,8,414.16,427.21,367.01,1,372.22,389.03,32,V0069:410.96|V0070:367.01|V0216:432.78|V0258:430.40|V0262:380.83|V0279:374.28|V0325:433.10|V0350:418.75,0,,0,0,,4.516146365052911,0.8861551091365655,0.8590856955595609
T00749,2022-01-02,Construction,Central,restricted,V0179,V0028|V0179|V0302|V0384,4,716.22,686.79,659.56,1,668.51,661.24,33,V0028:671.82|V0179:659.56|V0302:708.97|V0384:709.25,0,,0,0,,-1.0874930816292923,0.9208902292591661,0.9603517814761426
T00796,2022-01-02,IT Services,East,open,V0065,V0047|V0065|V0231|V0274|V0351,5,352.33,368.11,310.94,1,315.12,332.42,7,V0047:353.09|V0065:310.94|V0231:330.31|V0274:314.81|V0351:331.65,0,,0,0,,5.489972074130494,0.8825249056282463,0.8446931623699437
T03491,2022-01-02,Construction,South,open,V0136,V0044|V0136|V0201|V0207|V0226,5,1877.15,1756.83,1689.11,1,1713.06,1760.68,34,V0044:1923.17|V0136:1689.11|V0201:1709.14|V0207:1712.93|V0226:1768.65,0,,1,0,0.0,2.7798209052806158,0.8998268651945768,0.9614532994085939
T04262,2022-01-02,Medical Supplies,South,open,V0097,V0009|V0097|V0267,3,481.15,487.85,430.12,1,438.06,466.91,19,V0009:477.14|V0097:430.12|V0267:501.05,0,,1,0,0.0,6.585855818837608,0.8939415982541827,0.8816644460387414
T05541,2022-01-02,Consulting,North,open,V0313,V0010|V0097|V0150|V0196|V0313|V0340|V0381|V0385,8,131.93,141.05,120.76,1,120.74,125.76,13,V0010:130.31|V0097:132.55|V0150:125.05|V0196:128.88|V0313:120.76|V0340:125.94|V0381:133.88|V0385:124.90,0,,0,0,,4.157694218982947,0.915333889183658,0.8561503013115916
T05784,2022-01-02,Medical Supplies,South,open,V0254,V0009|V0197|V0216|V0254|V0292,5,155.19,166.27,152.74,1,154.16,153.94,9,V0009:162.92|V0197:154.46|V0216:158.49|V0254:152.74|V0292:152.78,0,,1,0,0.0,-0.14270887389724887,0.984212900315742,0.9186263306669874
T06554,2022-01-02,Construction,Central,negotiated,V0141,V0088|V0141|V0280|V0345,4,4281.87,4254.18,3946.44,1,4019.71,4149.85,17,V0088:4121.17|V0141:3946.44|V0280:4063.68|V0345:4289.61,0,,0,0,,3.237546987220479,0.9216627314701288,0.9276617350464719
T07638,2022-01-02,Consulting,East,open,V0210,V0052|V0065|V0095|V0158|V0210|V0248|V0276,7,83.52,84.13,76.99,1,77.5,78.57,31,V0052:79.99|V0065:80.34|V0095:80.26|V0158:86.54|V0210:76.99|V0248:85.53|V0276:77.43,0,,0,0,,1.3806451612903137,0.9218151340996168,0.9151313443480328
T07906,2022-01-02,Construction,North,open,V0032,V0032|V0086|V0174,3,339.56,323.18,312.84,1,312.25,308.92,15,V0032:312.84|V0086:349.68|V0174:340.26,0,,0,0,,-1.0664531625300189,0.9213099304982918,0.968005445881552
